DATE,DVD_SH_12M,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,IQ_DIV_SHARE,IQ_TOTAL_REV,IQ_OPER_INC,IQ_EARNING_CO,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_BASIC_EPS_EXCL,IQ_DILUT_EPS_EXCL,IQ_DILUT_EPS_NORM,IQ_CASH_EQUIV,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_BV_SHARE,IQ_TBV,IQ_TOTAL_DEBT,IQ_CASH_OPER,IQ_CAPEX,IQ_CF_SHARE,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_CURRENT_RATIO,IQ_TOTAL_DEBT_CAPITAL
6/30/2008,7.1096,12.65,-11.08,7.12724,263.93283,33.87851,14.24512,14.29436,44.88083,32.4296,13.78789,13.48604,19.50241,131.61344,1326.75109,3318.03836,1469.93771,2735.17417,529.59694,239.29226,1152.66791,38.92772,-14.77734,23.81769,2.4387,14.0215,10.2123,29.5842,0.90259,67.227
9/30/2008,7.102,5.91,-10.88,7.15722,259.39176,35.41901,11.20198,11.29966,49.15437,37.15377,10.10035,9.78413,20.29946,130.33876,1134.61153,3011.75626,1380.43444,2456.48187,513.01204,227.74402,912.98808,45.01183,-14.86525,29.75153,3.1044,16.6503,8.2464,28.3452,0.82192,62.8404
12/31/2008,6.9592,34.18,-6.57,6.84345,224.37962,19.22361,-21.57183,-20.73634,36.58647,24.93133,-21.87358,-22.06093,9.37439,124.23648,1018.27226,2805.66176,1258.57386,2293.61732,447.85181,177.01253,846.43449,31.46075,-17.44367,12.89104,2.1825,11.7479,-16.8473,28.1514,0.80907,63.1501
3/31/2009,7.2184,5.89,-3.92,5.96709,209.90545,24.44093,9.41294,9.06944,32.70531,21.26143,8.2916,8.15967,13.19809,138.71975,929.26639,2657.76839,1189.95599,2155.83699,442.50669,174.52821,807.85667,31.13033,-11.91289,18.41629,1.9978,10.6606,7.6827,32.3366,0.78093,62.0845
6/30/2009,5.3701,12.11,-10.58,5.33512,212.47153,27.23292,15.32687,14.44513,35.47036,23.98548,13.97303,13.77247,15.01698,132.99331,912.75792,2632.24686,1150.27034,2104.17633,477.95083,209.09645,775.57196,33.36559,-11.24398,21.59601,2.2887,11.6229,12.0599,32.3077,0.79352,59.8356
9/30/2009,5.2991,2.02,-3.78,5.3205,215.06114,27.78547,16.08498,15.58758,37.83706,26.62585,14.93071,14.70927,15.3721,153.7481,898.27001,2586.88324,1096.78569,2036.22169,495.09313,227.38465,732.07172,40.29448,-10.63259,29.46085,2.5949,12.3184,12.3411,31.1468,0.819,57.935
12/31/2009,5.6503,7.16,-5.21,5.48988,229.84337,34.03995,17.84722,18.10307,40.09753,28.35804,16.35174,16.07783,19.08714,158.94894,913.57606,2628.19915,1161.54912,2074.07897,515.1066,231.94605,734.98772,39.01902,-12.39783,25.90335,2.7075,12.9743,13.2414,32.6547,0.78652,57.3399
3/31/2010,5.5229,3.4,-6.74,5.40475,221.2199,32.32828,18.60735,18.10978,41.74072,30.06194,17.95125,17.62374,18.18542,154.81818,927.76005,2653.1252,1144.13253,2091.56508,528.58302,242.26431,783.49206,37.03297,-9.97444,27.56693,2.8758,13.5189,13.509,31.1757,0.81089,58.4692
6/30/2010,5.5991,3.13,-8.19,5.54793,226.00974,32.73886,20.70782,20.10882,43.29112,31.57075,20.12531,19.8434,18.41784,162.33197,931.61358,2657.13396,1145.34701,2085.13358,538.7627,252.89188,771.16908,37.98367,-11.18811,26.73493,2.962,13.9145,14.7472,31.3183,0.81339,57.651
9/30/2010,7.2796,3.41,-8.62,5.76074,230.05129,33.52497,20.52423,20.12058,44.10843,32.03291,19.91918,19.62232,18.99957,166.45307,973.96689,2743.64531,1187.06927,2144.25874,564.98337,271.96443,787.90544,29.78328,-12.05702,17.20968,2.9584,13.6135,14.1081,31.7034,0.82048,57.0585
