date,px,CF,g,erpb,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
727230,343.05,3.69552897908553,0.016220652,0.00694045667457073,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275,0.0202275
727237,359.35,3.69552897908553,0.016220652,0.00677639046837673,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895,0.019895
727244,369.06,3.69552897908553,0.016220652,0.0064539306501143,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425,0.0199425
727251,365.65,3.69552897908553,0.016220652,0.0063388285174653,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525,0.0201525
727258,370.47,3.69552897908553,0.016220652,0.00563770187883278,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072
727265,374.95,3.69552897908553,0.016220652,0.00546158177359964,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775,0.020775
727272,373.59,3.69552897908553,0.016220652,0.00555304330761309,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072,0.02072
727279,367.48,3.69552897908553,0.016220652,0.00567018195703492,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077,0.02077
727286,375.22,3.69552897908553,0.016220652,0.00561437453241079,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615,0.020615
727293,375.36,3.62643881854405,0.01485105025,0.00424075837997401,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415,0.020415
727300,380.4,3.62643881854405,0.01485105025,0.00414335372967089,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825,0.0203825
727307,384.2,3.62643881854405,0.01485105025,0.0038176633256554,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125,0.0206125
727314,379.02,3.62643881854405,0.01485105025,0.00403357938742559,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275,0.0205275
727321,380.8,3.62643881854405,0.01485105025,0.00394819112097373,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675
727328,375.74,3.62643881854405,0.01485105025,0.00388084250971963,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765
727335,372.39,3.62643881854405,0.01485105025,0.0040364559232647,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975,0.0206975
727342,377.49,3.62643881854405,0.01485105025,0.00383543498513751,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765,0.020765
727349,389.83,3.62643881854405,0.01485105025,0.00362931992823614,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625,0.0206625
727356,379.43,3.62643881854405,0.01485105025,0.00336058703851645,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119,0.02119
727363,382.29,3.62643881854405,0.01485105025,0.00330302255810851,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175,0.021175
727370,377.75,3.62643881854405,0.01485105025,0.00331872462105773,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275
727377,371.16,3.62643881854405,0.01485105025,0.00375170722722558,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015,0.021015
727384,374.08,3.497810480472,0.0147070835,0.00295753546555741,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375,0.0212375
727391,380.25,3.497810480472,0.0147070835,0.00293608237251935,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105,0.021105
727398,384.22,3.497810480472,0.0147070835,0.00275963769102461,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185,0.021185
727405,380.93,3.497810480472,0.0147070835,0.0030544202056296,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097,0.02097
727412,387.18,3.497810480472,0.0147070835,0.00326401637689311,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061,0.02061
727419,387.12,3.497810480472,0.0147070835,0.00332543716624166,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055
727426,385.58,3.497810480472,0.0147070835,0.00369205541575154,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022,0.02022
727433,394.17,3.497810480472,0.0147070835,0.00339895489121567,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125,0.0203125
727440,395.43,3.497810480472,0.0147070835,0.00353276332013374,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015,0.02015
727447,389.1,3.497810480472,0.0147070835,0.00379128247526467,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375,0.0200375
727454,383.59,3.497810480472,0.0147070835,0.00410980925217156,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985,0.01985
727461,387.92,3.497810480472,0.0147070835,0.00412652944575036,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973,0.01973
727468,385.9,3.497810480472,0.0147070835,0.00435192237347882,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525,0.0195525
727475,381.24,3.40113528069892,0.014108184,0.00369779113211656,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575,0.0194575
